name,profile_url,official_website,company_type,primary_sector,sectors,capabilities,capability_ids,markets,regions,value_chain_stages,date_published,last_materially_updated,last_reviewed,evidence_urls
GeologicAI,https://btugraph.com/companies/geologic-ai/,https://www.geologicai.com/,Technology company,Energy AI & analytics,Energy AI & analytics | Data & market intelligence | Field services & equipment,Core scanning | Geological sensing | AI-assisted logging | Resource modeling | Field data services,subsurface-characterization | subsurface-characterization | artificial-intelligence | subsurface-characterization | field-data-services,Mining | Critical minerals,Global,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.geologicai.com/scanning/ | https://www.agnicoeagle.com/English/news-and-media/our-stories/the-eagle-blog-and-more/blog-details/2023/A-New-Geological-Era-07-18-2023/default.aspx
Liberty Energy,https://btugraph.com/companies/liberty-energy/,https://libertyenergy.com/,Service provider,Field services & equipment,"Field services & equipment | Power, utilities & grid",Hydraulic fracturing | Wireline | Proppant logistics | Frac-equipment manufacturing | Distributed field power,completions-stimulation | well-intervention-decommissioning | oilfield-materials-logistics | equipment-manufacturing | distributed-field-power,Oil | Natural gas | Power,North America | Asia-Pacific,Upstream | Power,2026-09-04,2026-09-04,2026-09-04,https://libertyenergy.com/ | https://www.sec.gov/Archives/edgar/data/1694028/000169402826000006/lbrt-20251231.htm
ProFrac,https://btugraph.com/companies/profrac/,https://profrac.com/,Service provider,Field services & equipment,Field services & equipment,Hydraulic fracturing | Electric frac fleets | Dual-fuel fleets | Frac-sand production | Equipment manufacturing,completions-stimulation | equipment-manufacturing | equipment-manufacturing | oilfield-materials-logistics | equipment-manufacturing,Oil | Natural gas,North America,Upstream,2026-09-04,2026-09-04,2026-09-04,https://profrac.com/services/ | https://www.sec.gov/Archives/edgar/data/1881487/000119312526106120/acdc-20251231.htm
Cactus,https://btugraph.com/companies/cactus/,https://cactuswhd.com/,Manufacturer,Field services & equipment,Field services & equipment | Midstream & infrastructure,Surface wellheads | Frac valves | Pressure-control rental | Field service | Spoolable pipe,wellheads-pressure-control | wellheads-pressure-control | wellheads-pressure-control | field-services | pipes-flowlines,Oil | Natural gas | Water,North America | Asia-Pacific | Middle East,Upstream | Midstream,2026-09-04,2026-09-04,2026-09-04,https://cactuswhd.com/ | https://www.sec.gov/Archives/edgar/data/1699136/000162828026012377/whd-20251231.htm
TechnipFMC,https://btugraph.com/companies/technipfmc/,https://www.technipfmc.com/,Engineering contractor,Field services & equipment,"Field services & equipment | Engineering, EPC & construction",Subsea production systems | Umbilicals and flowlines | Integrated project delivery | Surface wellheads | Life-of-field services,subsea-systems | pipes-flowlines | construction-project-delivery | wellheads-pressure-control | maintenance-asset-management,Oil | Natural gas | Offshore energy,Global,Upstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.technipfmc.com/en/what-we-do/ | https://www.sec.gov/Archives/edgar/data/1681459/000168145926000010/fti-20251231.htm
Expro,https://btugraph.com/companies/expro/,https://www.expro.com/,Service provider,Field services & equipment,Field services & equipment,Well construction | Well flow management | Subsea well access | Well intervention | Decommissioning,drilling-well-construction | production-optimization | well-intervention-decommissioning | well-intervention-decommissioning | well-intervention-decommissioning,Oil | Natural gas | Offshore energy,North America | Latin America | Europe | Africa | Middle East | Asia-Pacific,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.expro.com/products-services | https://www.sec.gov/Archives/edgar/data/1575828/000143774926004727/xpro20251231_10k.htm
Archrock,https://btugraph.com/companies/archrock/,https://www.archrock.com/,Service provider,Field services & equipment,Field services & equipment | Midstream & infrastructure | LNG & natural gas,Contract compression | Compressor installation | Field maintenance | Parts and overhaul | Electric-drive compression,compression-services | compression-services | maintenance-asset-management | maintenance-asset-management | compression-services,Natural gas | NGLs,North America,Upstream | Midstream,2026-09-04,2026-09-04,2026-09-04,https://www.archrock.com/services-solutions/services/ | https://www.sec.gov/Archives/edgar/data/1389050/000138905026000009/aroc-20251231x10k.htm
Kodiak Gas Services,https://btugraph.com/companies/kodiak-gas-services/,https://kodiakgas.com/,Service provider,Field services & equipment,Field services & equipment | Midstream & infrastructure | LNG & natural gas,Contract compression | Gas-lift compression | Gathering compression | Engineering and installation | Aftermarket service,compression-services | compression-services | compression-services | engineering-design | maintenance-asset-management,Natural gas | Oil | NGLs,North America,Upstream | Midstream,2026-09-04,2026-09-04,2026-09-04,https://kodiakgas.com/contract-compression/ | https://www.sec.gov/Archives/edgar/data/1767042/000176704226000012/kgs-20251231.htm
H&P,https://btugraph.com/companies/helmerich-payne/,https://www.hpinc.com/,Service provider,Field services & equipment,Field services & equipment | Energy AI & analytics,Contract drilling | Land rigs | Directional automation | Rig-floor robotics | Remote operations,drilling-well-construction | equipment-manufacturing | automation-controls-robotics | automation-controls-robotics | remote-operations,Oil | Natural gas,North America | Latin America | Middle East | Global,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.hpinc.com/ | https://www.sec.gov/Archives/edgar/data/46765/000004676525000071/hp-20250930.htm
PETRONAS,https://btugraph.com/companies/petronas/,https://www.petronas.com/,Operator,Exploration & production,"Exploration & production | LNG & natural gas | Refining, chemicals & fuels | Trading, logistics & shipping | Renewables, storage & low carbon",Exploration and production | Gas processing and LNG | Refining and chemicals | Trading and retail | Maritime and low-carbon projects,exploration-appraisal | lng-infrastructure | refining-petrochemicals | commodity-trading-origination | low-carbon-technologies,Oil | Natural gas | LNG | Refined products | Petrochemicals | Renewables,Asia-Pacific | Global,Upstream | Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.petronas.com/about-us | https://www.petronas.com/media/media-releases/petronas-activity-outlook-2026-2028-strengthening-energy-ecosystem-malaysias | https://www.energy.gov/sites/default/files/2025-06/Commonwealth-Petronas%20SPA%20Cover%20Letter%20and%20Summary.pdf
Venture Global,https://btugraph.com/companies/venture-global/,https://ventureglobal.com/,Infrastructure owner,LNG & natural gas,"LNG & natural gas | Midstream & infrastructure | Engineering, EPC & construction",LNG liquefaction | Terminal development | Natural-gas transport | LNG shipping | Modular construction,lng-infrastructure | storage-terminals | pipeline-transportation | marine-shipping-chartering | construction-project-delivery,LNG | Natural gas | Carbon management,North America | Global,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://ventureglobal.com/about-us/ | https://ventureglobal.com/about-us/our-strategy/ | https://www.sec.gov/Archives/edgar/data/2007855/000200785526000013/vg-20251231.htm
Navig8,https://btugraph.com/companies/navig8/,https://www.navig8group.com/,Service provider,"Trading, logistics & shipping","Trading, logistics & shipping | Refining, chemicals & fuels",Tanker pooling | Commercial ship management | Cargo chartering | Bunker procurement | Shipping-market research,marine-shipping-chartering | marine-shipping-chartering | marine-shipping-chartering | procurement | market-data-intelligence,Oil | Refined products | Petrochemicals | Marine fuels,Global,Midstream | Downstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.navig8group.com/about-us/ | https://www.navig8group.com/services/ | https://adnocls.ae/en/news-and-media/press-releases/2025/navig8-completion-80/
Bridger Photonics,https://btugraph.com/companies/bridger-photonics/,https://www.bridgerphotonics.com/,Technology company,Energy AI & analytics,Energy AI & analytics | Field services & equipment | Midstream & infrastructure | LNG & natural gas,Methane detection | Aerial LiDAR surveys | Emissions quantification | Geotagged plume imaging | Regulatory reporting support,methane-emissions-management | methane-emissions-management | methane-emissions-management | methane-emissions-management | reporting-compliance,Oil | Natural gas | LNG | Renewable natural gas | Carbon management,North America | Global,Upstream | Midstream | Downstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.bridgerphotonics.com/about | https://www.bridgerphotonics.com/faq | https://arpa-e.energy.gov/programs-and-initiatives/search-all-projects/scaling-disruptive-methane-leak-detection-and-quantification
Eigen,https://btugraph.com/companies/eigen/,https://eigen.co/,Technology company,Energy AI & analytics,Energy AI & analytics | Energy software | Data & market intelligence,Knowledge-graph digital twins | Operational-data integration | Workflow automation | Process analytics | Safety-barrier monitoring,digital-twins-knowledge-graphs | data-integration | workflow-collaboration | analytics-monitoring | safety-integrity,Oil | Natural gas | Industrial operations,North America | Europe | Asia-Pacific,Upstream | Midstream | Downstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://eigen.co/about/ | https://eigen.co/solutions/ | https://higherlogicdownload.s3.amazonaws.com/SPE/07ecdc9c-d530-4de5-9092-74f7e21fd072/UploadedImages/Newsletters/2023/SPEgermany_2023_03.pdf
Jua,https://btugraph.com/companies/jua/,https://jua.ai/,Technology company,Energy AI & analytics,"Energy AI & analytics | Power, utilities & grid | Data & market intelligence | Trading, logistics & shipping",Weather foundation models | Renewable-output forecasting | Energy-market analysis | Position-aware alerts | API and SDK delivery,artificial-intelligence | market-forecasting | market-data-intelligence | analytics-monitoring | api-data-access,Power | Renewables | Energy trading,Europe | Global,Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://jua.ai/ | https://jua.ai/energy-trading/ | https://totalenergies.com/fr/infographies/programme-totalenergies-decouvrez-les-10-start-du-batch-3
Bayesian Energy,https://btugraph.com/companies/bayesian-energy/,https://bayesian.energy/,Technology company,Energy AI & analytics,"Energy AI & analytics | Energy software | Power, utilities & grid | Data & market intelligence",Capacity-expansion modeling | Power-market modeling | Natural-language model editing | Scenario workflows | Energy advisory,modeling-simulation | modeling-simulation | artificial-intelligence | scenario-analysis | engineering-design,Power | Renewables | Energy storage,Global,Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://bayesian.energy/ | https://bayesian.energy/convexity | https://www.rockefellerfoundation.org/reports/the-role-of-nuclear-energy-in-powering-universal-energy-abundance-for-emerging-economies/
ComboCurve,https://btugraph.com/companies/combocurve/,https://combocurve.com/,Technology company,Energy software,Energy software | Energy AI & analytics,Production forecasting | Reserves analysis | Asset economics | Development scheduling | Scenario management,production-forecasting | reserves-economic-evaluation | reserves-economic-evaluation | development-planning | scenario-analysis,Oil | Natural gas | NGLs,North America | Global,Upstream,2026-09-04,2026-09-04,2026-09-04,https://combocurve.com/solutions/combocore-forecast/ | https://combocurve.com/solutions/ | https://www.sec.gov/Archives/edgar/data/33213/000110465926020027/tm261383-1_def14a.htm
ION Commodities,https://btugraph.com/companies/ion-commodities/,https://iongroup.com/commodities/,Technology company,Energy software,"Energy software | Trading, logistics & shipping",Trade capture | Commodity risk | Physical logistics | Valuation | Settlement and accounting,trade-capture | risk-credit | physical-logistics | pricing-valuation | settlement-accounting,Oil | Natural gas | LNG | Power | Refined products | Commodities,Global,Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://iongroup.com/products/commodities/rightangle/ | https://iongroup.com/products/commodities/openlink/ | https://opportune.com/capabilities/energy-supply-trading/trading-risk-management
Quorum Software,https://btugraph.com/companies/quorum-software/,https://www.quorumsoftware.com/,Technology company,Energy software,Energy software | Midstream & infrastructure | LNG & natural gas,Upstream operations software | Hydrocarbon accounting | Midstream management | Measurement data | Pipeline and LNG software,industrial-data-management | settlement-accounting | gathering-processing | industrial-data-management | industrial-data-management,Oil | Natural gas | LNG | NGLs | Renewables,North America | Global,Upstream | Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.quorumsoftware.com/solutions/ | https://www.quorumsoftware.com/solutions/energy-components-midstream/ | https://aws.amazon.com/marketplace/pp/prodview-nw3i2kzwhrykq
Molecule,https://btugraph.com/companies/molecule/,https://molecule.io/,Technology company,Energy software,"Energy software | Trading, logistics & shipping",Trade capture | Position management | Valuation and risk | Settlement | Data integration,trade-capture | position-pnl | pricing-valuation | settlement-accounting | data-integration,Power | Natural gas | Oil | Renewables | Commodities,North America | Global,Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://molecule.io/solutions/ | https://molecule.io/platform/elektra | https://fidectus.com/en/resources/fidectus-and-molecule-partnership
